country,month,newsrate
GM,2017-11,0
CG,2017-11,0
JE,2017-11,0
MS,2017-11,0
MG,2017-11,0
BB,2017-11,0
YE,2017-11,0.0031446540880503146
SY,2017-11,0.00558659217877095
SZ,2017-11,0
TL,2017-11,0.013452914798206279
SD,2017-11,0.0016286644951140066
SN,2017-11,0.02564102564102564
SM,2017-11,0.01662049861495845
PW,2017-11,0
MN,2017-11,0.0028216704288939053
KW,2017-11,0.009708737864077669
JO,2017-11,0
IQ,2017-11,0
FO,2017-11,0
DJ,2017-11,0
IO,2017-11,0
AG,2017-11,0.016129032258064516
AL,2017-11,0.0008733624454148472
BD,2017-11,0
CI,2017-11,0.0313588850174216
MT,2017-11,0.014598540145985401
MW,2017-11,0
IM,2017-11,0.026525198938992044
VA,2017-11,0.034764826175869123
MU,2017-11,0.008830022075055188
NC,2017-11,0.008928571428571428
QA,2017-11,0.017958412098298678
GI,2017-11,0.05194805194805195
ET,2017-11,0.1794871794871795
AI,2017-11,0.023809523809523808
SK,2017-11,0.0027502376748607905
PR,2017-11,0.01770657672849916
KN,2017-11,0
KG,2017-11,0.008392341987936008
MC,2017-11,0.018633540372670808
MZ,2017-11,0.03755868544600939
GA,2017-11,0.011363636363636364
TZ,2017-11,0.010193679918450561
AF,2017-11,0.005434782608695652
LY,2017-11,0.0026223776223776225
ST,2017-11,0
KY,2017-11,0.014506769825918761
MV,2017-11,0.0005115089514066496
PG,2017-11,0.05506883604505632
OM,2017-11,0.04057971014492753
BN,2017-11,0.005797101449275362
AX,2017-11,0.011019283746556474
CY,2017-11,0.009269558769002595
LU,2017-11,0.031142611683848798
LT,2017-11,0.0015798976828167318
BZ,2017-11,0.0003035571377321522
RE,2017-11,0.06415094339622641
MA,2017-11,0.006331811263318113
EG,2017-11,0.002255503428365211
SV,2017-11,0.01913536498936924
AM,2017-11,0.002267402312750359
VC,2017-11,0
VE,2017-11,0.008478753820368726
NI,2017-11,0.022106631989596878
CF,2017-11,0.023323615160349854
PA,2017-11,0.013235294117647059
LK,2017-11,0.014526246285902938
SO,2017-11,0.05168986083499006
KZ,2017-11,0.004695215737067919
ZW,2017-11,0.022357723577235773
NP,2017-11,0
TN,2017-11,0.012857142857142857
SA,2017-11,0.0032729653065677504
TO,2017-11,0.014423076923076924
IR,2017-11,0.007995614445588373
MM,2017-11,0.013348164627363738
KE,2017-11,0.01687471104946833
NA,2017-11,0.02169869807811531
PF,2017-11,0.05343511450381679
GR,2017-11,0.010554643425876776
PH,2017-11,0.00975943308261329
CW,2017-11,0
CZ,2017-11,0.004442767928245107
EC,2017-11,0.018069973087274125
AT,2017-11,0.007293161166905786
GG,2017-11,0
IL,2017-11,0.002621350447437404
JP,2017-11,0.0005070931196121356
TV,2017-11,0.0072921108742004265
GH,2017-11,0.026881720430107527
NO,2017-11,0.002029330591482223
CR,2017-11,0.010580575149213239
KI,2017-11,0.13043478260869565
AR,2017-11,0.0034616821249888207
TK,2017-11,0.015957446808510637
GT,2017-11,0.014749262536873156
BG,2017-11,0.003628410954818828
FI,2017-11,0.004922264241551113
DK,2017-11,0.01066616766467066
ZM,2017-11,0.019157088122605363
CC,2017-11,0.0052
SE,2017-11,0.004828480003670104
FM,2017-11,0.015650548937164215
PY,2017-11,0.003052666890305267
PK,2017-11,0.02550743514598936
GD,2017-11,0
SR,2017-11,0.013157894736842105
HK,2017-11,0.007203962179198559
PL,2017-11,0.0016135422707879944
AE,2017-11,0.01895155127617301
TH,2017-11,0.004557751117384145
TW,2017-11,0.0012470477090222012
ZA,2017-11,0.01436367605326348
KS,2017-11,0.0081419624217119
KR,2017-11,0.0032881577964067646
SC,2017-11,0.15625
NG,2017-11,0.011222869242985706
MX,2017-11,0.014681344009219355
LI,2017-10,0.02753623188405797
PS,2017-11,0.0012363996043521265
TN,2017-10,0.00784313725490196
LA,2017-10,0.037037037037037035
DZ,2017-11,0
LV,2017-10,0.001075268817204301
DK,2017-10,0.01386023145240872
EC,2017-10,0.016112789526686808
ML,2017-11,0.020833333333333332
HK,2017-10,0.009009009009009009
MK,2017-11,0.000046182976954694497
HT,2017-10,0
WS,2017-11,0.014321295143212951
MZ,2017-10,0.05714285714285714
BF,2017-11,0.011627906976744186
VA,2017-10,0.006578947368421052
AU,2017-10,0.02245641984007843
KW,2017-10,0
ID,2017-10,0.038725397017401374
IE,2017-10,0.013515363032915896
CU,2017-11,0.04198302813756141
EG,2017-10,0.002536997885835095
BR,2017-11,0.017689519000453163
BZ,2017-10,0.00028993911278631486
CN,2017-11,0.0027582660324213136
CI,2017-10,0
IO,2017-10,0.007462686567164179
MY,2017-10,0.010673536989326464
CM,2017-10,0
BW,2017-10,0
MS,2017-10,0
BA,2017-10,0
BD,2017-10,0.0017857142857142857
AW,2017-10,0
KG,2017-10,0.007651363938789089
AM,2017-10,0.001999077348915885
AS,2017-10,0
SG,2017-10,0.0074410567972799735
VG,2017-10,0.017857142857142856
US,2017-11,0.00992453685373752
RS,2017-11,0.00014105566056365842
AX,2017-10,0.14634146341463414
BO,2017-11,0.024871693643900513
SN,2017-10,0.031818181818181815
TZ,2017-10,0.016666666666666666
AS,2017-11,0
ME,2017-11,0.003895184135977337
IS,2017-10,0.0018754688672168042
MD,2017-10,0.019730941704035873
EE,2017-10,0.002617801047120419
NU,2017-11,0.008873551885629776
SV,2017-10,0.019193857965451054
IL,2017-10,0.002270469703419895
IT,2017-10,0.014487319933685216
FJ,2017-10,0.096045197740113
GU,2017-11,0.027777777777777776
UY,2017-11,0.013986013986013986
HR,2017-10,0.0017781425249623855
AW,2017-11,0.03125
LA,2017-11,0.009966777408637873
IM,2017-10,0.03409090909090909
SM,2017-10,0.03571428571428571
GQ,2017-10,0
ZA,2017-10,0.01328869953337391
BA,2017-11,0
BG,2017-10,0.003203459736515437
TK,2017-10,0.014814814814814815
AF,2017-10,0.10126582278481013
FR,2017-11,0.008827033359565329
AD,2017-10,0
FJ,2017-11,0.17697228144989338
DO,2017-10,0.037209302325581395
BY,2017-11,0.006376767055931162
GY,2017-11,0.07096774193548387
AL,2017-10,0.0019193857965451055
CH,2017-11,0.006823815747960518
RW,2017-11,0
KH,2017-10,0
AZ,2017-11,0.01358950328022493
GI,2017-10,0.08333333333333333
BN,2017-10,0.045454545454545456
BW,2017-11,0.020100502512562814
GQ,2017-11,0.03982300884955752
GE,2017-10,0
FR,2017-10,0.007943986882526998
UZ,2017-11,0.009825327510917031
RU,2017-11,0.004890374473039
ML,2017-10,0.0196078431372549
DO,2017-11,0.018055555555555554
HN,2017-11,0.01564537157757497
BR,2017-10,0.022025536854323853
TR,2017-11,0.0035965195977197364
CC,2017-10,0.004148053605615826
GA,2017-10,0
IN,2017-10,0.009013718880135566
AE,2017-10,0.01634472511144131
GE,2017-11,0.0005971931919976113
CV,2017-10,0.043478260869565216
LV,2017-11,0.001773981603153745
PE,2017-11,0.005979291235234068
KE,2017-10,0.011014492753623189
CV,2017-11,0.01643192488262911
IR,2017-10,0.03560308650331664
CL,2017-11,0.008481284631912247
LT,2017-10,0.0037217957664573155
HN,2017-10,0.024242424242424242
TG,2017-11,0.027777777777777776
QA,2017-10,0.006920415224913495
GH,2017-10,0
LB,2017-10,0
CY,2017-10,0.015815959741193385
AZ,2017-10,0.006873568006665278
AG,2017-10,0
SI,2017-10,0.002364066193853428
LK,2017-10,0.011889862327909888
MX,2017-10,0.01532567049808429
PF,2017-10,0
JO,2017-10,0
CL,2017-10,0.006295018461352218
TC,2017-11,0
US,2017-10,0.011532397437245014
LI,2017-11,0.005154639175257732
SI,2017-11,0.0015590200445434299
CR,2017-10,0.011538461538461539
BI,2017-10,0
CD,2017-10,0.017543859649122806
MR,2017-10,0
FI,2017-10,0.004728017157340612
BF,2017-10,0
LU,2017-10,0.03773584905660377
MC,2017-10,0.05555555555555555
HU,2017-10,0.0006269101167620093
KR,2017-10,0.0016214776293997058
AO,2017-10,0.018518518518518517
BT,2017-11,0
BY,2017-10,0.004378180097029938
FM,2017-10,0.014285714285714285
DZ,2017-10,0
MK,2017-10,0
IE,2017-11,0.01723960159198235
DJ,2017-10,0
GR,2017-10,0.013886966551326412
EE,2017-11,0.002324348570729519
GT,2017-10,0.03125
BE,2017-10,0.009082687089883966
CO,2017-10,0.021484848484848485
CX,2017-11,0
LS,2017-11,0
UA,2017-10,0.0031685879880262403
MA,2017-10,0.0038456060390257797
TV,2017-10,0.006723515906854706
TR,2017-10,0.00429025905165884
NA,2017-10,0.023206751054852322
MV,2017-10,0.0043859649122807015
SH,2017-11,0
VN,2017-11,0.0016359342961411198
MT,2017-10,0.014814814814814815
BO,2017-10,0.02226027397260274
MU,2017-10,0.012539184952978056
VU,2017-10,0.1111111111111111
MN,2017-10,0.005235602094240838
ME,2017-10,0.0034231921266581087
TT,2017-11,0.008306709265175719
MR,2017-11,0.014563106796116505
MM,2017-10,0.0058823529411764705
PK,2017-10,0.021593608291945583
KS,2017-10,0.001494138380200751
GB,2017-10,0.008064724140006363
MY,2017-11,0.010669723557162383
ES,2017-10,0.013120024262643111
RU,2017-10,0.007439190140979125
LY,2017-10,0
NZ,2017-10,0.039484978540772535
AR,2017-10,0.002943012574690092
PE,2017-10,0.0064216501347399806
RO,2017-11,0.0025230544096683447
AU,2017-11,0.015159472541198848
NL,2017-10,0.016277950378506104
PT,2017-10,0.01607954856735879
BH,2017-11,0
NO,2017-10,0.0022802364000186143
KH,2017-11,0
PT,2017-11,0.01628605349535582
NZ,2017-11,0.04025963990418051
CH,2017-10,0.00906344410876133
SK,2017-10,0.0026930586413519155
SE,2017-10,0.007313943541488452
CM,2017-11,0
RO,2017-10,0.01576148058462337
BI,2017-11,0.030303030303030304
HR,2017-11,0.0014435622675031926
BE,2017-11,0.007832099369760754
PA,2017-10,0.01903553299492386
UA,2017-11,0.0028054787452738163
PL,2017-10,0.002004517497971037
MO,2017-11,0.024096385542168676
TW,2017-10,0.001384778299709468
SX,2017-10,0.0625
UG,2017-11,0.03198031980319803
GY,2017-10,0.12903225806451613
MO,2017-10,0
WS,2017-10,0.017459361830222758
AT,2017-10,0.01383185649448887
SA,2017-10,0.0050434295320818156
VN,2017-10,0.0010643653362099963
CZ,2017-10,0.005661331086773378
NI,2017-10,0.018879798615481436
ZM,2017-10,0.057971014492753624
SB,2017-11,0.017543859649122806
UY,2017-10,0.022893772893772892
EU,2017-10,0.0064
SO,2017-10,0.05747126436781609
CD,2017-11,0.012925969447708578
PH,2017-10,0.00781580059146599
CU,2017-10,0.030947775628626693
UG,2017-10,0.018108651911468814
PW,2017-10,0
GD,2017-10,0
PY,2017-10,0.0024496461622210124
JM,2017-11,0.06896551724137931
OM,2017-10,0.012903225806451613
SX,2017-11,0.005689900426742532
TH,2017-10,0.0025906735751295338
ZW,2017-10,0.0223463687150838
NG,2017-10,0.010649312231918355
RE,2017-10,0.06428571428571428
TJ,2017-11,0.021241830065359478
MG,2017-10,0
RS,2017-10,0.0004018754186202277
HT,2017-11,0
AD,2017-11,0.0016260162601626016
VU,2017-11,0.10240963855421686
CN,2017-10,0.0042433893715015875
CA,2017-10,0.017747715602165717
KY,2017-10,0.02631578947368421
TJ,2017-10,0.0215633423180593
EU,2017-11,0.005493803500702696
GU,2017-10,0
AO,2017-11,0.02209722780233025
CO,2017-11,0.021669387065908707
SB,2017-10,0
TT,2017-10,0.0024509803921568627
LB,2017-11,0.0055941358024691355
KZ,2017-10,0.007441091360066143
NC,2017-10,0.0625
VG,2017-11,0.0038022813688212928
CA,2017-11,0.018177630529915136
PR,2017-10,0.017191977077363897
VE,2017-10,0.004967520061138708
UZ,2017-10,0.026490066225165563
PG,2017-10,0.05555555555555555
TO,2017-10,0.05405405405405406
PS,2017-10,0
TL,2017-10,0.1
IT,2017-11,0.010398361822327432
PM,2017-11,0.0047169811320754715
NU,2017-10,0.013644115974985787
IS,2017-11,0.0030142098464188316
CF,2017-10,0.029850746268656716
DE,2017-10,0.01097594934097894
ET,2017-10,0.08333333333333333
MD,2017-11,0.005592105263157895
GB,2017-11,0.009547582216686421
JP,2017-10,0.00035334883508867916
IN,2017-11,0.010315713394001117
HU,2017-11,0.00031529164477141355
ES,2017-11,0.01270972905673801
SG,2017-11,0.006152757170276193
NL,2017-11,0.013724042455006922
DE,2017-11,0.00950620978602424
ID,2017-11,0.007869772663485826